欲望という名の電車 A Streetcar Named Desire (1951) ,
セールスマンの死 Death of a Salesman (1951) ,
狂っちゃいないぜ！ Pushing Tin (1999) ,
アメリカン・ヒストリーX American History X (1998) ,
フル・モンティ The Full Monty (1997) ,
Hollow Reed (1996) ,
グロテスク The Grotesque (1995) ,
ドリームゴール When Saturday Comes (1995) ,
Felidae (1994) ,
Anna Lee (1993) ,
クライング・ゲーム The Crying Game (1992) ,
美しき獲物 Knight Moves (1992) ,
スターダスト The Miracle (1991) ,
法王さまご用心 The Pope Must Die (1991) ,
Jeeves and Wooster (1990) ,
セイ・エニシング Say Anything... (1989) ,
ガラスの中の私 Silence Like Glass (1989) ,
刑事クイン/妖術師の島 The Mighty Quinn (1989) ,
The Misadventures of Mr. Wilt (1989) ,
ウォンテッド・ハイスクール/あぶない転校生 Hiding Out (1987) ,
スプレンドール Splendor (1988) ,
ミス・アリゾナ Mrs. Arizona (1987) ,
ラ・ファミリア La Famille (1987) ,
マカロニ Maccheroni (1985) ,
パッション・ダモーレ Passione D'amore (1981) ,
特別な一日 Una Giornata Particolare (1977) ,
醜い奴、汚い奴、悪い奴 Brutti sporchi ecattivi (1976) ,
ビッグ・マグナム７７ Blazing Magnums (1976) ,
ああ新婚 The Virgin Wife (1975) ,
あんなに愛しあったのに C'eravamo tanto amati (1974) ,
黄金の7人・1+6/エロチカ大作戦 Home Eroticus (1971) ,
"ジェラシー Jealousy, Italian Style (1970) ",
女性上位時代 La Matriarca (The Matriarch) (1969) ,
危険な恋人 Col cuore in gola (1967) ,
星空の用心棒 I Lunghi giorni della vendetta (1966) ,
続・黄金の七人/レインボー作戦 Il Grande Colpo Dei Sette Uomini D'oro (1966) ,
黄金の七人 Sette uomini d'oro (1965) ,
カサノヴァ'70 Casanova '70 (1965) ,
"昨日・今日・明日 Ieri, oggi, domani (Yesterday, Today and Tomorrow) (1963) ",
河の女 La Donna del fiume (1955) ,
踊る大捜査線 THE MOVIE 湾岸署史上最悪の3日間！ (1998) ,「Love Somebody(CINEMA version)」織田裕二
スター・トレック・コレクション The Ultimate Star Trek (2000) ,
プラン9・フロム・アウター・スペース Plan 9 from Outer Space (1959) ,
踊る大捜査線「歳末特別警戒スペシャル」 (1997) ,「Love Somebody」織田裕二withマキシ・プリースト(歌・作詞)、GARDEN(作曲)、松本晃彦(編曲)
踊る大捜査線 (1997) ,「Love Somebody」織田裕二withマキシ・プリースト(歌・作詞)、GARDEN(作曲)、松本晃彦(編曲)
サイコ2 Psycho II (1983) ,
悪魔の赤ちゃん2 It Lives Again (It's Alive II) (1978) ,
愛のメモリー Obsession (1976) ,
タクシー・ドライバー Taxi Driver (1976) ,
悪魔の赤ちゃん It's Alive! (1974) ,
悪魔のシスター Sisters (1973) ,
エンドレスナイト Endless Night (1971) ,
The Night Digger (1971) ,
ネレトバの戦い Bitka na Neretvi (1969) ,
Obsessions (1969) ,
密室の恐怖実験 Twisted Nerve (1968) ,
黒衣の衣装 The Bride Wore Black (1967) ,
華氏451 Fahrenheit 451 (1966) ,
Joy in the Morning (1965) ,
マーニー Marnie (1964) ,
アルゴ探検隊の大冒険 Jason and the Argonauts (1963) ,
鳥 The Birds (1963) ,
恐怖の岬 Cape Fear (1962) ,
夜は帰って来ない Tender Is the Night (1962) ,
SF巨大生物の島 Mysterious Island (1961) ,
サイコ Psycho (1960) ,
The Three Worlds of Gulliver (1960) ,
十代の夏 Blue Denim (1959) ,
地底探検 Journey to the Center of the Earth (1959) ,
北北西に進路を取れ North by Northwest (1959) ,
シンバッド七回目の航海 The 7th Voyage of Sinbad (1958) ,
荒野の悪魔 The Fiend Who Walked the West (1958) ,
裸者と死者 The Naked and the Dead (1958) ,
めまい Vertigo (1958) ,
夜を逃れて A Hatful of Rain (1957) ,
間違えられた男 The Wrong Man (1957) ,
灰色の服を着た男 The Man in the Gray Flannel Suit (1956) ,
知りすぎていた男 The Man Who Knew Too Much (1956) ,
Williamsburg: The Story of a Patriot (1956) ,
ケンタッキー人 The Kentuckian (1955) ,
凶弾の舞台 Prince of Players (1955) ,
ハリーの災難 The Trouble with Harry (1955) ,
The Going Up of David Lev (1973) ,
悪の花園 Garden of Evil (1954) ,
十二哩の暗礁の下に Beneath the 12-Mile Reef (1953) ,
壮烈カイバー銃隊 King of the Khyber Rifles (1953) ,
蛮地の太陽 White Witch Doctor (1953) ,
五本の指 5 Fingers (1952) ,
ベスト・オブ・スター・トレック The Best of Star Trek (1999) ,
地球の静止する日 The Day the Earth Stood Still (1951) ,
危険な場所で On Dangerous Ground (1951) ,
ジェニイの肖像 Portrait of Jennie (1948) ,
幽霊と未亡人 The Ghost and Mrs. Muir (1947) ,
アンナとシャム王 Anna and the King of Siam (1946) ,
戦慄の調べ Hangover Square (1945) ,
ジェーン・エア Jane Eyre (1944) ,
偉大なるアンバーソン家の人々 The Magnificent Ambersons (1942) ,
悪魔の金 The Devil and Daniel Webster (1941) ,
市民ケーン Citizen Kane (1941) ,
The Real Macaw (1998) ,
裸の銃を持つ逃亡者 Wrongfully Accused (1998) ,
スパイ・ハード Spy Hard (1996) ,
クルタ/夢大陸の子犬 (ナポレオン) Napoleon (1995) ,
ベスト・キッド4 The Next Karate Kid (1994) ,
"ブラッド・イン ブラッド・アウト Bound by Honor (Blood In, Blood Out) (1993) ",
