風の谷のナウシカ Nausicaa of Valley of Wind (1984) ,風の谷のナウシカ,風の谷のナウシカ/「風の谷のナウシカ」より,リラクシング・ピアノ~宮崎駿コレクション,広橋真紀子,2004,290413,34,3,1,0.432,0.98,0.119,0.918,0.0927,-18.605,0.0352,164.28,3,0.148
漂流教室 (1987) ,野性の風,野性の風,IMAI MIKI from 1986,Miki Imai,1998-07-01,291000,10,6,0,0.556,0.581,0.697,0.000488,0.266,-9.633,0.0351,93.022,4,0.55
カリートの道 Carlito's Way (1993) ,You Are So Beautiful,You Are So Beautiful,I Can Stand A Little Rain,Joe Cocker,1974-01-01,159640,67,1,1,0.297,0.846,0.182,0.00267,0.134,-10.944,0.0298,83.391,3,0.092
6デイズ/7ナイツ Six Days Seven Nights (1998) ,Is This Love,Is This Love,Kaya,Bob Marley & The Wailers,1978,232200,75,6,0,0.776,0.11,0.559,0,0.0671,-8.375,0.103,122.242,4,0.758
ふたり (1997) ,夢じゃない,夢じゃない,CRISPY!,SPITZ,1993,267906,39,7,1,0.529,0.559,0.666,0,0.298,-4.382,0.0333,178.306,4,0.274
妹の恋人 Benny & Joon (1993) ,I'm Gonna Be,I'm Gonna Be,Hollywood's Bleeding,Post Malone,2019-09-06,200680,70,5,1,0.746,0.703,0.559,0,0.148,-4.008,0.0316,117.943,4,0.368
ナッシング・トゥ・ルーズ Nothing to Lose (1997) ,Crazy Maze,Crazy Maze,I Ain't Movin',Des'ree,1994-04-27,275373,32,7,1,0.627,0.59,0.678,0,0.184,-10.131,0.0424,92.039,4,0.159
アルマゲドン Armageddon (1998) ,I Don't Want to Miss a Thing,I Don't Want to Miss a Thing,I Don't Want to Miss a Thing,Music Travel Love,2021-07-12,224588,56,10,1,0.788,0.329,0.464,0,0.34,-6.886,0.0426,107.054,4,0.685
フェノミナン Phenomenon (1996) ,Change The World,Change The World,Change The World,Lance Allen,2021-04-29,185977,42,11,0,0.811,0.851,0.255,0.878,0.112,-12.867,0.0848,96.99,4,0.224
アンカーウーマン Up Close and Personal (1996) ,Because You Loved Me,"Because You Loved Me (Theme from ""Up Close and Personal"")",Falling into You,Céline Dion,1996-02-28,273666,74,1,1,0.615,0.314,0.467,0,0.099,-9.883,0.0327,119.919,4,0.177
ジャンピン・ジャック・フラッシュ Jumpin' Jack Flash (1986) ,Jumpin' Jack Flash,Jumpin' Jack Flash,Jumpin' Jack Flash / Child Of The Moon,The Rolling Stones,2021-05-28,222933,62,3,1,0.595,0.0744,0.885,0.534,0.0844,-7.688,0.0518,137.243,4,0.643
ノッティングヒルの恋人 Notting Hill (1999) ,She,She,Human,dodie,2019-01-18,213611,68,2,1,0.479,0.755,0.154,0.0261,0.11,-15.051,0.0369,92.457,4,0.232
