天使のお仕事 (1999) ,朝陽のあたる橋,観月ありさ
ニューヨークの恋人 Kate & Leopold (2001) ,Until...(アンティル…),Sting(スティング) … 第74回アカデミー賞でオリジナル歌曲賞にノミネート。
ベティ・サイズモア Nurse Betty (2000) ,"Whatever Will Be, Will Be (Que Sera, Sera) ～ ケ・セラ・セラ",Pink Martini(ピンク・マルティーニ(マティーニ))/Jula Depalma
踊る大捜査線「湾岸署婦警物語 初夏の交通安全スペシャル」 (1998) ,Love Somebody,織田裕二withマキシ・プリースト(歌・作詞)、GARDEN(作曲)、松本晃彦(編曲)
踊る大捜査線「秋の犯罪撲滅運動スペシャル」 (1998) ,Love Somebody,織田裕二withマキシ・プリースト(歌・作詞)、GARDEN(作曲)、松本晃彦(編曲)
ケイゾク/映画 Beautiful Dreamer (2000) ,クロニック・ラブ -Remix Version-,中谷美紀
ケイゾク/特別篇(ファントム)～死を契約する呪いの木～ (1999) ,クロニック・ラブ,中谷美紀
ケイゾク (1999) ,クロニック・ラブ,中谷美紀
やまとなでしこ (2000) ,Everything,MISIA
ロケット・ボーイ Rocket Boy (2001) ,空のむこうまで,織田裕二
仄暗い水の底から (2001) ,青空,スガシカオ
猫の恩返し (2002) ,風になる,つじあやの(作詞・作曲・歌)
名探偵コナン ベイカー街の亡霊 (2002) ,Everlasting,B'z … アルバム「GREEN」、「
ビューティフルライフ ふたりでいた日々 Beautiful Life (2000) ,今夜月の見える丘に,B'z … MAXIシングル、アルバム「ELEVEN」、アルバム「The Ballads ～ Love &amp; B'z」に収録。アルバムによって、ギターのヴァージョン(間奏部分など)が違う。
西遊記 (1993) ,愛のままにわがままに 僕は君だけを傷つけない,B'z
卓球温泉 (1998) ,丘を越えて,矢野顕子
GTO (1998) ,POISON～言いたい事も言えないこんな世の中は～,反町隆史
オースティン・パワーズ ゴールドメンバー Austin Powers in Goldmember (2002) ,Work It Out(ワーク・イット・アウト),Beyonce(ビヨンセ)
ダーク・エンジェル Dark Angel (2000) ,Like a star in the night,倉木麻衣
氷の世界 (1999) ,ダイヤモンド・ダスト,氷室京介
ピーチな関係 (1999) ,SOULS,bird
WITH LOVE (1998) ,DESTINY,MY LITTLE LOVER
雨に唄えば Singin' in the Rain (1952) ,Singin' In The Rain,Gene Kelly
眺めのいい部屋 A Room with a View (1986) ,O Mio Babbino Caro(私のお父さん),Kiri Te Kanawa(キリ・テ・カナワ) … プッチーニ作曲のオペラ「Gianni Schicchi(ジャンニ・スキッキ)」より。『眺めのいい部屋』サントラや、アルバム「
リターナー Returner (2002) ,DIG IN(ディグ・イン),Lenny Kravitz(レニー・クラヴィッツ) … アルバム「
蘇える金狼 (1999) ,SLEEP MY DEAR,今井美樹
ロマンス (1999) ,WIRED,TRF
ノット・ア・ガール Crossroads (2002) ,"I'm Not a Girl, Not Yet a Woman(ノット・ア・ガール)",Britney Spears(ブリトニー・スピアーズ)
君が教えてくれたこと (2000) ,Love Again～永遠の世界～,Shela
美しい人 (1999) ,哀しみの影(Yesterday Yes A Day),ジェーン・バーキン
青の時代 (1998) ,青の時代,KinKi Kids
サイコドクター (2002) ,Ring,平井堅
必要のない人 (1998) ,君たちを忘れない,小田和正
恋は負けない Loser (2000) ,Teenage Dirtbag(ティーンエイジ・ダートバッグ),Wheatus(ウィータス) … アルバム「
007/カジノ・ロワイヤル Casino Royale (2006) ,You Know My Name,Chris Cornell(クリス・コーネル) … 今回、主題歌はサントラには収録されず。クリス・コーネルの意向らしい。
王様のレストラン (1995) ,Precious Junk,平井堅
Laundry ランドリー (2001) ,Under The Sun,atami / vo. BONNIE PINK … BONNIE PINK(作詞・歌)、渡辺善太郎(作曲・編曲)
明日があるさ (2001) ,明日があるさ,Re:Japan
明日があるさ スペシャル (2002) ,明日があるさ,Re:Japan
溺れる魚 (2000) ,edge,鬼束ちひろ
ため息つかせて Waiting to Exhale (1995) ,Exhale (Shoop Shoop),Whitney Houston(ホイットニー・ヒューストン)
トリック 劇場版 TRICK (2002) ,月光,鬼束ちひろ(作詞・作曲・唄)
トリック2 TRICK2 (2002) ,流星群,鬼束ちひろ(作詞・作曲・唄)
トリック TRICK (2000) ,月光,鬼束ちひろ(作詞・作曲・唄)
