130,黄昏サラウンド,MASTERPIECE,RIP SLYME,2004-11-03,337973,44,11,1,0.75,0.447,0.759,7.01e-05,0.179,-6.364,0.031,105.007,4,0.823
131,Stand By You,Traveler,Official HIGE DANdism,2019-09-11,256131,46,1,1,0.609,0.00864,0.869,0.0,0.283,-5.129,0.0422,154.024,4,0.626
132,by her feat. 茂千代,Salve,KID FRESINO,2017-01-23,237533,0,7,1,0.678,0.767,0.305,0.0725,0.0879,-8.843,0.102,86.578,4,0.269
133,偽愛,ジャーニー,Mr.ふぉるて,2019-12-25,252013,0,0,1,0.475,1.9e-05,0.774,4.72e-06,0.226,-4.723,0.0293,97.01,4,0.362
134,Easy Breezy,Easy Breezy,chelmico,2020-01-17,208375,50,2,1,0.655,0.507,0.993,0.0,0.392,-2.026,0.0862,93.021,4,0.62
135,夕暮れに映して,From DROPOUT,Kiro Akiyama,2020-03-03,218080,0,1,1,0.535,0.000108,0.876,0.106,0.147,-2.657,0.0354,110.048,4,0.601
136,HIP,reality in BLACK,MAMAMOO,2019-11-22,195305,56,3,0,0.784,0.0406,0.726,4.03e-05,0.0857,-4.606,0.136,138.033,4,0.825
137,長く短い祭,長く短い祭 / 神様、仏様,Sheena Ringo,2015-07-31,249546,61,2,0,0.614,0.0567,0.788,0.0472,0.221,-3.808,0.112,124.876,4,0.778
138,愛を伝えたいだとか,青春のエキサイトメント,Aimyon,2017-09-12,235240,58,2,1,0.673,0.0345,0.85,1.14e-05,0.0943,-5.021,0.0337,100.008,4,0.793
139,前前前世 - movie ver.,君の名は。,RADWIMPS,2016-08-24,284240,52,11,1,0.325,0.00047,0.906,0.0,0.0912,-3.979,0.137,189.878,4,0.585
140,PLAYBOY,Sounds Good,CREAM,2018-09-19,200268,50,5,1,0.855,0.106,0.657,0.0,0.0803,-4.856,0.0599,99.037,4,0.669
141,ミュージック・アワー,PORNO GRAFFITTI BEST RED'S,PornoGraffitti,2004-07-28,275866,0,0,1,0.623,0.0816,0.971,0.0,0.562,-4.156,0.0552,134.952,4,0.912
142,One of these nights - feat. Jua,STRANDED,VivaOla,2020-06-17,234857,40,6,1,0.779,0.226,0.563,0.000301,0.0798,-7.385,0.0654,105.01,4,0.706
143,Fanfare,Fanfare,TWICE,2020-07-08,220240,43,6,1,0.669,0.0302,0.956,9.78e-06,0.0764,-2.49,0.126,114.922,4,0.81
144,遠心,遠心,Macaroni Empitsu,2019-11-21,217611,30,1,0,0.625,0.0956,0.893,0.0,0.122,-3.047,0.0625,134.008,4,0.741
145,ベランダ,HOUSE,yonige,2018-10-03,150266,26,2,1,0.604,0.426,0.461,0.0,0.0856,-9.288,0.0289,87.561,4,0.359
146,Asian Doll,Mobb Life,BAD HOP,2017-09-06,286879,51,3,0,0.767,0.0182,0.69,0.0,0.118,-4.711,0.0582,140.051,4,0.294
